customer_id,age,gender_cd,region_size,foreign_flg,entrepreneur_flg,auto_flg,traveler_flg,partnership_flg,child_amt,realty_type,segment_cd,bundle_nm,confirmed_income,predicted_income,product_cd,functional_cd,finish_dttm,state_talk_time_sec,wo_hit_status_result_desc,wo_hit_status_reason_desc,employee_id,emp_age,emp_age_new,emp_gender_cd,emp_children_cnt,emp_work_months_cnt,emp_citizenship_country_cd,emp_marital_status_cd,success_flg,day_of_week,holiday_flg,product,function,auto_and_entrepreneur_flg,region_category,age_group,age_group_dummies,age_difference,marital_status,work_experience_status,pro_flg
139895392,42.0,1.0,msk,0.0,0.0,1.0,0.0,1.0,0.0,1.0,m_04 (11),Без подписки,,,Credit Cards,Preapprove,2022-11-02,221.0,"Дозвон, Отказ",Другой банк,172244.0,26.0,24.0,,,0.0,,,0,2,0,Кредитная карта,Продажи и предложения,0.0,1,35-49,3.0,16.0,с партнером без детей,новичок,0
342841087,40.0,0.0,town,0.0,0.0,1.0,0.0,0.0,1.0,1.0,t_07 (29),Без подписки,,,Cash Loan,Incoming,2022-08-05,26.0,"Дозвон, Отказ",Переведен в банк,17861.0,40.0,38.0,0.0,,82.0,,,0,4,0,Кредит,Другое,0.0,1,35-49,3.0,0.0,одинокий с детьми,сеньор,0
124379737,28.0,1.0,msk,0.0,0.0,1.0,0.0,1.0,1.0,1.0,m_07 (18),Без подписки,,,Credit Cards,Afterfilling,2022-02-11,46.0,"Дозвон, Отказ",Левый контакт,134188.0,30.0,27.0,,,0.0,,,0,4,0,Кредитная карта,Другое,0.0,1,25-34,2.0,2.0,с партнером с детьми,новичок,0
505902204,19.0,1.0,town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t_05 (19),Без подписки,,,Credit Cards,Meeting,2023-11-13,96.0,"Дозвон, Успешно",Назначена встреча,228467.0,25.0,24.0,1.0,,1.0,Россия,Холост/не замужем,1,0,0,Кредитная карта,Другое,0.0,1,14-24,1.0,6.0,одинокий,новичок,0
63047752,52.0,0.0,town,0.0,0.0,1.0,0.0,1.0,0.0,1.0,t_03 (10),Pro,,,Cash Loan,Preapprove,2023-12-15,94.0,"Дозвон, Отказ",Кредит уже не нужен,171390.0,29.0,28.0,0.0,,,,,0,4,0,Кредит,Продажи и предложения,0.0,1,50-64,4.0,23.0,с партнером без детей,сеньор,1
394092560,27.0,0.0,urban,0.0,0.0,1.0,0.0,1.0,1.0,1.0,u_07 (27),Pro,,15323.5,Cash Loan,Agreement,2023-03-26,21.0,"Дозвон, Отказ",Кредит уже не нужен,108662.0,58.0,56.0,1.0,,19.0,,,0,6,1,Кредит,Другое,0.0,1,25-34,2.0,31.0,с партнером с детьми,опытный,1
168934875,33.0,0.0,town,0.0,0.0,0.0,0.0,1.0,1.0,1.0,t_07 (29),Pro,,15140.0,Credit Cards,Downsell,2024-07-22,20.0,"Дозвон, Отказ",Отказ прослушать предложение,268164.0,18.0,19.0,0.0,,3.0,,,0,0,0,Кредитная карта,Продажи и предложения,0.0,1,25-34,2.0,15.0,с партнером с детьми,новичок,1
430307934,18.0,1.0,town,0.0,0.0,1.0,0.0,0.0,0.0,0.0,t_09 (36),Pro,,,Credit Cards,Preapprove,2023-09-06,29.0,"Дозвон, Отказ",Не звонить,225298.0,62.0,60.0,0.0,,0.0,,,0,2,0,Кредитная карта,Продажи и предложения,0.0,1,14-24,1.0,44.0,одинокий,новичок,1
447192251,38.0,1.0,rural,0.0,1.0,0.0,0.0,1.0,1.0,1.0,r_03 (20),Без подписки,,,Credit Cards,Preapprove,2024-01-16,35.0,"Дозвон, Отказ",Отказ прослушать предложение,141813.0,23.0,22.0,0.0,,6.0,Россия,Холост/не замужем,0,1,0,Кредитная карта,Продажи и предложения,0.0,0,35-49,3.0,15.0,с партнером с детьми,опытный,0
376540147,35.0,0.0,urban,0.0,0.0,0.0,0.0,1.0,0.0,1.0,u_10 (35),Без подписки,,10779.04,Credit Cards,Preapprove,2023-12-23,69.0,"Дозвон, Отказ",Кредитная карта не нужна,109997.0,67.0,66.0,0.0,,42.0,,,0,5,1,Кредитная карта,Продажи и предложения,0.0,1,35-49,3.0,32.0,с партнером без детей,сеньор,0
